mass_A
t	x	y
0,000000000E0	1,090367233E-1	3,328906406E-1
1,000000000E-2	1,169358303E-1	3,202628873E-1
2,000000000E-2	1,249990889E-1	3,067826161E-1
3,000000000E-2	1,335122621E-1	2,928136710E-1
4,000000000E-2	1,430774841E-1	2,796676268E-1
5,000000000E-2	1,522752150E-1	2,646195149E-1
6,000000000E-2	1,623185851E-1	2,497178424E-1
7,000000000E-2	1,726422236E-1	2,343814054E-1
8,000000000E-2	1,837016681E-1	2,190659090E-1
9,000000000E-2	1,957583201E-1	2,029333420E-1
1,000000000E-1	2,079273131E-1	1,873650045E-1
1,100000000E-1	2,207662059E-1	1,712704149E-1
1,200000000E-1	2,341845438E-1	1,546582662E-1
1,300000000E-1	2,488187762E-1	1,381763790E-1
1,400000000E-1	2,639011200E-1	1,217709542E-1
1,500000000E-1	2,802320080E-1	1,054914615E-1
1,600000000E-1	2,974209949E-1	8,948444994E-2
1,700000000E-1	3,155761518E-1	7,345156996E-2
1,800000000E-1	3,337601112E-1	5,783248462E-2
1,900000000E-1	3,533811350E-1	4,244421051E-2
2,000000000E-1	3,741481229E-1	2,754818690E-2
2,100000000E-1	3,952521615E-1	1,255939829E-2
2,200000000E-1	4,171709870E-1	-1,235301716E-3
2,300000000E-1	4,400732980E-1	-1,473343616E-2
2,400000000E-1	4,638422939E-1	-2,735281366E-2
2,500000000E-1	4,886395297E-1	-3,875532209E-2
2,600000000E-1	5,138248742E-1	-4,923265388E-2
2,700000000E-1	5,403171068E-1	-5,910820590E-2
2,800000000E-1	5,675826390E-1	-6,456607177E-2
2,900000000E-1	5,937729738E-1	-7,304420179E-2
3,000000000E-1	6,219886610E-1	-7,734287849E-2
3,100000000E-1	6,499729621E-1	-8,007879017E-2
3,200000000E-1	6,785897430E-1	-8,168823666E-2
3,300000000E-1	7,065361544E-1	-8,115948215E-2
3,400000000E-1	7,350153780E-1	-7,961625753E-2
3,500000000E-1	7,626876816E-1	-7,661859303E-2
3,600000000E-1	7,910497724E-1	-7,311698801E-2
3,700000000E-1	8,179010200E-1	-6,910368885E-2
3,800000000E-1	8,450393623E-1	-6,358786041E-2
3,900000000E-1	8,723896185E-1	-5,789009461E-2
4,000000000E-1	8,987063971E-1	-5,140869042E-2
4,100000000E-1	9,254125195E-1	-4,359541403E-2
4,200000000E-1	9,499413011E-1	-3,708371786E-2
4,300000000E-1	9,754858762E-1	-2,871032323E-2
4,400000000E-1	1,001252213E0	-2,327655123E-2
4,500000000E-1	1,026079041E0	-1,552512120E-2
4,600000000E-1	1,051752956E0	-8,216558042E-3
4,700000000E-1	1,076700801E0	-6,664409871E-4
4,800000000E-1	1,102219229E0	7,409302238E-3
4,900000000E-1	1,126022209E0	1,558950532E-2
5,000000000E-1	1,150057773E0	2,380205651E-2
5,100000000E-1	1,174103136E0	3,310415200E-2
5,200000000E-1	1,197822866E0	4,192496357E-2
5,300000000E-1	1,221124600E0	5,030599427E-2
