mass_A
t	x	y
0,000000000E0	9,966031278E-2	3,493703924E-1
1,000000000E-2	1,065477134E-1	3,376981663E-1
2,000000000E-2	1,139528514E-1	3,253423965E-1
3,000000000E-2	1,217390989E-1	3,128617773E-1
4,000000000E-2	1,301843876E-1	2,993533550E-1
5,000000000E-2	1,388656534E-1	2,859952641E-1
6,000000000E-2	1,475917375E-1	2,720336287E-1
7,000000000E-2	1,569188831E-1	2,574823333E-1
8,000000000E-2	1,669304443E-1	2,426983516E-1
9,000000000E-2	1,773502663E-1	2,276392829E-1
1,000000000E-1	1,884955054E-1	2,122473276E-1
1,100000000E-1	2,004066347E-1	1,961902840E-1
1,200000000E-1	2,127616447E-1	1,806866573E-1
1,300000000E-1	2,258000862E-1	1,650339658E-1
1,400000000E-1	2,394474872E-1	1,487223354E-1
1,500000000E-1	2,540706352E-1	1,324318767E-1
1,600000000E-1	2,694020575E-1	1,161859312E-1
1,700000000E-1	2,857140985E-1	1,002378957E-1
1,800000000E-1	3,026920022E-1	8,439004050E-2
1,900000000E-1	3,206244538E-1	6,925660895E-2
2,000000000E-1	3,387608767E-1	5,358828076E-2
2,100000000E-1	3,585227557E-1	3,814228584E-2
2,200000000E-1	3,792519206E-1	2,337619478E-2
2,300000000E-1	3,996446716E-1	9,139095868E-3
2,400000000E-1	4,223434496E-1	-4,754500995E-3
2,500000000E-1	4,450340312E-1	-1,792519507E-2
2,600000000E-1	4,689716289E-1	-3,036599815E-2
2,700000000E-1	4,933684782E-1	-4,147226155E-2
2,800000000E-1	5,185925843E-1	-5,194732994E-2
2,900000000E-1	5,449617285E-1	-6,127932787E-2
3,000000000E-1	5,731840154E-1	-6,883548724E-2
3,100000000E-1	5,985206588E-1	-7,457417574E-2
3,200000000E-1	6,264057875E-1	-7,887690092E-2
3,300000000E-1	6,542162976E-1	-8,164510622E-2
3,400000000E-1	6,824215986E-1	-8,265326194E-2
3,500000000E-1	7,102679738E-1	-8,247139955E-2
3,600000000E-1	7,380325301E-1	-8,043738656E-2
3,700000000E-1	7,661376290E-1	-7,789899352E-2
3,800000000E-1	7,940717678E-1	-7,465999713E-2
3,900000000E-1	8,207423329E-1	-7,035854070E-2
4,000000000E-1	8,476272893E-1	-6,476172592E-2
4,100000000E-1	8,743548100E-1	-5,876559066E-2
4,200000000E-1	9,008640203E-1	-5,250119534E-2
4,300000000E-1	9,264677827E-1	-4,463865859E-2
4,400000000E-1	9,529223523E-1	-3,877479973E-2
4,500000000E-1	9,784713971E-1	-3,141954692E-2
4,600000000E-1	1,003643724E0	-2,448711191E-2
4,700000000E-1	1,029090836E0	-1,688552790E-2
4,800000000E-1	1,053313973E0	-9,350652418E-3
4,900000000E-1	1,077937927E0	-1,847265033E-3
5,000000000E-1	1,102810338E0	6,055671065E-3
5,100000000E-1	1,126606570E0	1,447096497E-2
5,200000000E-1	1,149569242E0	2,198070588E-2
5,300000000E-1	1,173150462E0	3,118448094E-2
